,id,age,gender,race,city,state,Year
469,2769,47.0,Male,Black,Leavenworth,KS,2017
470,2770,54.0,Male,White,Golden Valley,AZ,2017
471,2771,33.0,Male,Native,Oklahoma City,OK,2017
472,2772,40.0,Male,White,Lake View,SC,2017
473,2773,58.0,Male,White,Grover Beach,CA,2017
474,2774,55.0,Male,White,Pima,AZ,2017
475,2775,47.0,Male,White,Crystal Springs,FL,2017
476,2776,42.0,Male,Hispanic,Goodyear,AZ,2017
477,2778,29.0,Male,Hispanic,Los Angeles,CA,2017
478,2779,40.0,Female,White,Minneapolis,MN,2017
479,2780,23.0,Male,Black,Moreno Valley,CA,2017
480,2781,23.0,Male,White,Arlington,TX,2017
481,2782,25.0,Female,Black,Norfolk,VA,2017
482,2783,52.0,Male,Hispanic,Las Cruces,NM,2017
483,2784,43.0,Male,White,Culpeper,VA,2017
484,2785,37.0,Male,Hispanic,San Antonio,TX,2017
485,2786,32.0,Male,White,Clay,AL,2017
486,2787,70.0,Male,White,Springfield,OR,2017
487,2789,24.0,Male,White,Fair Oaks,CA,2017
488,2790,24.0,Male,Hispanic,Santa Fe,NM,2017
489,2791,38.0,Male,Other,Saginaw,MI,2017
490,2792,52.0,Male,White,Neosho,MO,2017
491,2793,27.0,Male,Black,St. Louis,MO,2017
492,2794,22.0,Male,Hispanic,Santa Ana,CA,2017
493,2797,42.0,Male,Hispanic,Mission,TX,2017
494,2795,49.0,Male,White,Spencer,MA,2017
495,2796,59.0,Male,White,Eau Claire,WI,2017
496,2799,41.0,Male,Hispanic,Southaven,MS,2017
497,2800,34.0,Male,White,Chico,CA,2017
498,2798,31.0,Male,White,St. Louis,MO,2017
499,2801,23.0,Male,White,Richmond,VA,2017
500,2802,28.0,Male,White,Jacksonville,FL,2017
501,2803,33.0,Male,Hispanic,Avondale,AZ,2017
502,2805,16.0,Male,Black,Marion,AR,2017
503,2804,35.0,Male,White,Phoenix,AZ,2017
504,2806,26.0,Male,White,San Antonio,TX,2017
505,2807,62.0,Female,White,Vero Beach,FL,2017
506,2808,25.0,Male,Black,Dayton,OH,2017
507,2809,25.0,Male,Hispanic,Avenal,CA,2017
508,2811,31.0,Male,White,Wenatchee,WA,2017
509,2812,35.0,Male,Hispanic,Chowchilla,CA,2017
510,2816,46.0,Male,White,Los Angeles,CA,2017
511,2820,39.0,Male,Black,Homer,LA,2017
512,2929,26.0,Male,White,Grand Terrace,CA,2017
513,2813,37.0,Male,Hispanic,Albuquerque,NM,2017
514,2819,32.0,Male,White,Glenville,NY,2017
515,2822,31.0,Male,Black,Kansas City,MO,2017
516,2818,48.0,Male,White,Melba,ID,2017
